ogc_fid,objectid,effective,year_effec,status,ulurpno,lucats,project_na,shape_leng,shape_area,ULURP_num,Name,Borough,Zoning Map,layer,path
90,232,2004/07/21 00:00:00.000,"2004",Adopted,030294zmk,"030294",FRANKLIN LOFTS,1030.883672268465489,65162.879342566244304,"030294",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
91,233,2003/11/06 00:00:00.000,"2003",Adopted,030300zmk,"030300",FULTON PARK URP,1649.983938110869303,145234.093885064619826,"030300",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
92,239,2003/12/03 00:00:00.000,"2003",Adopted,020285zmr,"020285",SIBP REZONING/CENTRAL NORTH SHORE,67652.991769130254397,46236801.208695881068707,"020285",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
93,255,2009/11/30 00:00:00.000,"2009",Adopted,770073zmx,"770073",MORRIS PARK AVE & WILLIAMSBRIDGE RD,1398.403181928284994,112478.134431003796635,"770073",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
94,287,2006/02/01 00:00:00.000,"2006",Adopted,030461zmx,"030461",CROTONA PARKWAY REZONING,900.005772317864967,34796.519103698832623,"030461",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
95,288,2005/10/11 00:00:00.000,"2005",Adopted,050442zmx,"050442",MORRIS PARK REZONING,16516.494082869550766,5286085.432157910428941,"050442",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
96,289,2005/12/21 00:00:00.000,"2005",Adopted,020615zmm,"020615",METROPOLIS STUDIOS,815.274404890289588,28331.401687492074416,"020615",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
97,296,2005/10/11 00:00:00.000,"2005",Adopted,050393zmk,"050393",OCEAN DREAMS,2284.663960196823609,283541.522852500318550,"050393",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
98,300,2006/08/16 00:00:00.000,"2006",Adopted,060411zmq,"060411",MIDDLE VILLAGE FOLLOW UP REZONING,12834.008638589222755,3118112.478577060624957,"060411",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
99,303,2011/04/06 00:00:00.000,"2011",Adopted,900604zmx,"900604",SEA BREEZE ESTATES,1448.562747994700430,129655.174310986039927,"900604",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
100,325,2004/12/07 00:00:00.000,"2004",Adopted,050043zmx,"050043",NORTH RIVERDALE REZONING,14896.680245328441742,5746332.108814000152051,"050043",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
101,326,2004/12/15 00:00:00.000,"2004",Adopted,040496zmm,"040496",400 PARK AVE SO,1721.646940147870055,163843.102185911760898,"040496",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
102,327,2004/08/12 00:00:00.000,"2004",Adopted,040331zmm,"040331",LADIES MILE REZONING,4298.898163939279584,1049359.993822759715840,"040331",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
103,328,2003/09/17 00:00:00.000,"2003",Adopted,030403zmq,"030403",NORTH CORONA REZONING,23416.464910328220867,21273081.981194261461496,"030403",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
104,329,2005/10/27 00:00:00.000,"2005",Adopted,050455zmr,"050455",S.I. COMM'L OVERLAY ELIMINATION,19773.924921018911846,1604535.985002877889201,"050455",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
105,333,2005/12/21 00:00:00.000,"2005",Adopted,050049zmx,"050049",3924 E TREMONT AVE,1143.570479751684161,60038.800543148274301,"050049",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
106,334,2007/12/19 00:00:00.000,"2007",Adopted,070495zmm,"070495",SPEC MANHATTANVILLE DIST,8918.458515293072196,2434988.686290015932173,"070495",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
107,347,2014/07/29 00:00:00.000,"2014",Adopted,770445azmk,770445a,"120 AVE,SUTPHIN BLVD,ROCKAWAY BLVD",1873.275317624942318,210740.159192817693111,"770445",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
108,356,2005/10/27 00:00:00.000,"2005",Adopted,050190zmq,"050190",HORACE HARDING EXPWAY REZONING,2775.151058703552735,137253.879926479858113,"050190",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
109,357,2005/10/11 00:00:00.000,"2005",Adopted,050453zmr,"050453",S.I. COMM'L OVERLAY ELIMINATION,33522.574547027608787,1667035.591877608327195,"050453",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
110,366,2006/07/19 00:00:00.000,"2006",Adopted,020087zmq,"020087",VERNON BLVD REZONING,2878.577521612736291,511420.029572158644442,"020087",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
111,367,2005/10/11 00:00:00.000,"2005",Adopted,050454zmr,"050454",S.I. COMM'L OVERLAY ELIMINATION,3513.412264413354478,122356.959834154185955,"050454",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
112,368,2003/06/05 00:00:00.000,"2003",Adopted,030244zmm,"030244",ANCHOR-MILBANK FRAWLEY CIRCLE WEST,2906.456023769193962,398095.241011902748141,"030244",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
113,369,2002/10/23 00:00:00.000,"2002",Adopted,020180zmx,"020180",PIONEER SUPERMARKET,1405.772617016031745,82231.376518093631603,"020180",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
114,370,2003/07/30 00:00:00.000,"2003",Adopted,020124zmq,"020124",EXECUTIVE MOTOR INN,1382.258772779469155,54427.781815670707147,"020124",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
115,371,2003/12/03 00:00:00.000,"2003",Adopted,030001zmr,"030001",SIBP REZONING/N.E NORTH SHORE,82085.964888428148697,30729226.668897099792957,"030001",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
116,372,2005/01/19 00:00:00.000,"2005",Adopted,040410zmr,"040410",CLOVE LAKE REZONING,24228.037387997635960,12434314.277682615444064,"040410",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
117,420,2006/08/16 00:00:00.000,"2006",Adopted,060323zmq,"060323",SILVERCUP WEST,2466.656801191787054,376803.466727014281787,"060323",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
118,439,2005/02/02 00:00:00.000,"2005",Adopted,050050zmm,"050050",CLINTON GREEN MIXED USE DEV,1603.890579837675432,94112.909406796155963,"050050",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
119,440,2004/02/04 00:00:00.000,"2004",Adopted,030526zmq,"030526",OCEAN BAY REZONING,2610.284170023300248,179074.981977245479356,"030526",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
120,441,2003/11/19 00:00:00.000,"2003",Adopted,030510zmq,"030510",ARVERNE URA,32270.904111324722180,7017970.761518314480782,"030510",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
121,442,2004/08/12 00:00:00.000,"2004",Adopted,030449zmr,"030449",TIDES AT CHARLESTON,6814.059606413095935,2465680.598009564448148,"030449",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
122,443,2003/08/19 00:00:00.000,"2003",Adopted,020190zmr,"020190",ZBK RETAIL,860.375735578969511,42502.416381915762031,"020190",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
123,444,2004/09/09 00:00:00.000,"2004",Adopted,040206zmr,"040206",SOUTHERN GREAT KILLS,11070.282044090146883,4530843.262026120908558,"040206",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
124,445,2006/02/15 00:00:00.000,"2006",Adopted,060132zmk,"060132",SHEEPSHEAD BAY REZONING,5722.026122428264898,1233949.327512836316600,"060132",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
125,446,2005/08/17 00:00:00.000,"2005",Adopted,050376zmm,"050376",ALL SAINTS HOUSING,986.807754678298807,60411.731157072150381,"050376",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
126,451,2005/12/21 00:00:00.000,"2005",Adopted,060062zmr,"060062",NEW DORP LANE REZONING,5069.711880751637182,777985.540613805991597,"060062",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
127,452,2002/12/18 00:00:00.000,"2002",Adopted,000087zmk,"000087",DOMSEY & GLANTZ SITES,2700.615858541582384,389166.063405600434635,"000087",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
128,453,2002/04/10 00:00:00.000,"2002",Adopted,010229zmq,"010229",CALDWELL AVE REZONING,1472.289876003447716,70685.437010461406317,"010229",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
129,454,2002/09/25 00:00:00.000,"2002",Adopted,020629zmq,"020629",FOREST HILLS/REGO PARK REZONING,24401.737848959110124,9751623.606148429214954,"020629",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
130,455,2002/06/05 00:00:00.000,"2002",Adopted,020248zmq,"020248",JAMAICA MID-BLOCK DEV PROJ,1147.861163035629033,81634.112181138872984,"020248",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
131,456,2003/06/17 00:00:00.000,"2003",Adopted,030297zmq,"030297",HOLLISWOOD REZONING,12937.539906824325953,9809821.748508078977466,"030297",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
132,457,2008/06/29 00:00:00.000,"2008",Adopted,060032zmm,"060032",84 WHITE ST,1662.390444667313659,151398.015201277914457,"060032",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
133,458,2004/12/15 00:00:00.000,"2004",Adopted,020523zmq,"020523",GARDEN WORLD,2502.283818571576830,308666.794748873740900,"020523",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
134,461,2008/09/04 00:00:00.000,"2008",Adopted,080462zmq,"080462",LAURELTON REZONING,27258.649017701252887,37657493.136994808912277,"080462",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
135,469,2006/06/29 00:00:00.000,"2006",Adopted,060337zmq,"060337",JAMAICA HILL/HILL CREST,23035.335759951220098,8968719.502208270132542,"060337",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
136,470,2005/10/11 00:00:00.000,"2005",Adopted,030370zmx,"030370",764 E176TH STREET,1228.753520563279608,75598.964512300430215,"030370",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
137,481,2005/06/23 00:00:00.000,"2005",Adopted,050296zmk,"050296",BENSONHURST REZONING,21537.020850882800005,23769701.369815632700920,"050296",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
138,482,2003/01/29 00:00:00.000,"2003",Adopted,020034zmq,"020034",DIST 14 GARAGE & LOT CLEANING UNIT,3900.437657652119015,494031.667001158639323,"020034",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
139,483,2002/09/25 00:00:00.000,"2002",Adopted,970453zmr,"970453",PLEASANT PLAINS,68879.596795379547984,79471459.949989899992943,"970453",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
140,485,2006/03/22 00:00:00.000,"2006",Adopted,060180zmx,"060180",WESTCHESTER SQUARE-ZEREGA REZONING,22147.727866115536017,4533747.503500781953335,"060180",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
141,487,2005/12/21 00:00:00.000,"2005",Adopted,060033zmm,"060033",CORNERSTONE PROJECT SITE 10,924.448975318647172,52451.047048893109604,"060033",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
142,488,2006/10/25 00:00:00.000,"2006",Adopted,060536zmr,"060536",CLIFTON REZONING,7951.963871462004136,1812005.501149908872321,"060536",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
143,489,2006/10/25 00:00:00.000,"2006",Adopted,060303zmq,"060303",NY HOSPITAL QUEENS EXPANSION,2593.137721132176466,399663.163256031519268,"060303",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
144,499,2008/03/26 00:00:00.000,"2008",Adopted,070522zmm,"070522",EAST RIVER REALTY CO.,1780.301453551260010,163118.778774653939763,"070522",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
145,500,2010/10/13 00:00:00.000,"2010",Adopted,070550zmx,"070550",HIGH HAWK,1400.324005382601626,76299.858039383019786,"070550",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
146,501,2011/06/29 00:00:00.000,"2011",Adopted,070210zmq,"070210","135-01, 135-09 NORTHERN BLVD",906.301897858329085,49414.277983831227175,"070210",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
147,502,2008/04/16 00:00:00.000,"2008",Adopted,080116zmk,"080116",COLUMBIA HICKS PROJ,1790.755485271642783,159401.049197556189029,"080116",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
148,503,2008/05/14 00:00:00.000,"2008",Adopted,080132zmm,"080132",UNITY FUNERAL CHAPELS,1107.121667969924829,62792.071988734023762,"080132",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
149,504,2007/10/17 00:00:00.000,"2007",Adopted,060353zmk,"060353",BAY RIDGE MIXED USE DEV,2826.534938528093335,485544.371357811905909,"060353",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
150,505,2008/04/30 00:00:00.000,"2008",Adopted,080128zmx,"080128",JAMES J. LYONS URP,1027.873481362512848,67303.755579981414485,"080128",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
151,506,2008/04/30 00:00:00.000,"2008",Adopted,080151zmm,"080151",E. HARLEM CLUSTER,1333.117361307493184,82092.506770678970497,"080151",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
152,507,2008/04/30 00:00:00.000,"2008",Adopted,080186zmk,"080186",BRISTOL ST,1063.377233460455500,70649.966840379056521,"080186",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
153,508,2008/07/01 00:00:00.000,"2008",Adopted,070174zmq,"070174",COLLEGE POINT-14TH AVE,1092.377336049897167,74232.400612316967454,"070174",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
154,509,2008/05/14 00:00:00.000,"2008",Adopted,080198zmr,"080198",LAFAYETTE MANOR,934.040758010955869,52827.454611989625846,"080198",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
155,510,2007/06/15 00:00:00.000,"2007",Adopted,070276zmx,"070276",BORICUA VILLAGE/MELROSE COMMONS URA,2471.260021427849097,336022.447959397744853,"070276",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
156,511,2007/12/11 00:00:00.000,"2007",Adopted,060372zmm,"060372",122 E32ND ST,910.399545465203573,51361.594576800285722,"060372",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
157,512,2008/07/23 00:00:00.000,"2008",Adopted,080248zmx,"080248",HUNTS POINT SPECIAL DIST,32236.887139984351961,12605535.110425427556038,"080248",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
158,513,2005/11/16 00:00:00.000,"2005",Adopted,060054zmk,"060054",SOUTH PK SLOPE REZO & TEXT AMEND,16255.589740083654760,9412685.181091446429491,"060054",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
159,514,2005/03/23 00:00:00.000,"2005",Adopted,050134azmk,050134a,BAY RIDGE REZONING,54022.241026703479292,40108682.786222338676453,"050134",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
160,515,2005/02/02 00:00:00.000,"2005",Adopted,040251zmk,"040251",RESTAURANT 101,783.356806792562566,37180.021831061028934,"040251",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
161,516,2004/09/09 00:00:00.000,"2004",Adopted,040189zmr,"040189",GREAT KILLS CONTEXTUAL REZONING,26243.954108341607935,9187434.395209144800901,"040189",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
162,517,2003/12/03 00:00:00.000,"2003",Adopted,020636zmr,"020636",SIBP REZONING/SOUTHEAST MID-ISLAND,94325.296659761675983,64732641.101017497479916,"020636",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
163,518,2003/12/15 00:00:00.000,"2003",Adopted,030298zmk,"030298",2092 STILLWELL AVE,1558.619452959766477,101497.550123833105317,"030298",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
164,549,2002/09/25 00:00:00.000,"2002",Adopted,860117zmm,"860117",GLICK 61ST ST,1950.364136636818330,212773.217013911664253,"860117",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
165,560,2005/07/27 00:00:00.000,"2005",Adopted,050014zmr,"050014",TOTTENVILLE REZONING,47376.461306579432858,31460287.228260714560747,"050014",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
166,561,2005/07/27 00:00:00.000,"2005",Adopted,050143zmr,"050143",GREAT KILLS & TOTTENVILLE WATERFRNT,14537.870173032970342,5405806.844353735446930,"050143",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
167,562,2005/07/27 00:00:00.000,"2005",Adopted,050015zmr,"050015",ELTINGVILLE REZONING,7311.738890868810813,2592611.846478285733610,"050015",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
168,563,2005/09/15 00:00:00.000,"2005",Adopted,050511zmq,"050511",FAR ROCKAWAY & MOTT CREEK,9849.801677407567695,3869058.364323525223881,"050511",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
169,564,2006/04/26 00:00:00.000,"2006",Adopted,060176zmk,"060176",ATLANTIC TERRACE,1016.369665326864379,58050.351749348235899,"060176",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
170,606,2004/06/21 00:00:00.000,"2004",Adopted,040124zmk,"040124",AM & G WATERPROOFING,2053.159385330424811,155162.466700786986621,"040124",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
171,613,2008/01/09 00:00:00.000,"2008",Adopted,050491zmq,"050491",ASTORIA STUDIO APTS,1582.622328651551470,86052.998184455267619,"050491",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
172,657,2002/01/30 00:00:00.000,"2002",Adopted,010725zmk,"010725",LIGHT BRIDGES REZONING,1826.536603723106509,197736.566105687757954,"010725",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
173,658,2002/01/30 00:00:00.000,"2002",Adopted,010106zmq,"010106",MASPETH FEDERAL SAVINGS & LOAN,733.460269659308665,31060.361510124141205,"010106",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
174,660,2002/01/30 00:00:00.000,"2002",Adopted,020047zmk,"020047",RED HOOK STORES,4720.851990380904681,993908.084883217699826,"020047",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
175,696,2007/08/22 00:00:00.000,"2007",Adopted,060271zmk,"060271",COMMERCE BANK-99TH ST,881.015394163016140,47554.793476804043166,"060271",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
176,697,2007/03/28 00:00:00.000,"2007",Adopted,060018zmk,"060018",CARROLL ST,489.492753854063324,14480.129378121686386,"060018",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
177,698,2007/10/29 00:00:00.000,"2007",Adopted,070447zmk,"070447",BEDFORD-STUYVESANT SO,39292.325557278032647,41014445.271599732339382,"070447",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
178,699,2007/10/29 00:00:00.000,"2007",Adopted,060477zmk,"060477",45 SUMMIT STREET,1295.855679380578522,79378.305645263651968,"060477",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
